,Fastgreedy,Infomap,LPA,Louvein,Walktrap,FPPM
Polblogs,0.6540912774524905,0.4852568676638148,0.6813705994167969,0.6446225270809921,0.6468069927883063,0.6944889060541907
Polbooks,0.5308141953494562,0.4934540986821071,0.5541745954442445,0.5121330361945671,0.5427476197209922,0.5643783021525542
Cora,0.46067120152443414,0.41662121974888294,0.4317921524735007,0.4745945683846245,0.44270247941763324,0.4954705712036002
Citeseer,0.3439091516111742,0.34103533351329607,0.3396326842522103,0.32999760956602214,0.35405040800538323,0.37266740675004806
